"id","x","y","type"
1122,716933.988948,5413807.411335,"amenity"
1129,720465.365964,5416044.183968,"amenity"
1167,723922.304429,5412003.345195,"amenity"
1171,723896.134334,5412029.758070,"amenity"
1172,723915.426324,5411993.573727,"amenity"
1151,716648.688536,5413183.266911,"amenity"
1162,717993.843674,5405902.990985,"amenity"
1166,723890.188524,5412014.702945,"amenity"
1100,728997.371401,5404872.813065,"church"
1101,718004.016095,5406035.333571,"church"
1102,726964.569169,5403229.472290,"church"
1103,728619.929904,5408162.169165,"church"
1104,728370.008260,5408994.880325,"church"
1105,723209.397119,5416062.634166,"church"
1106,721933.293453,5405411.814702,"church"
1107,726263.822620,5408188.282922,"church"
1108,723932.767126,5412220.014182,"church"
1109,726261.347551,5407426.694192,"church"
1110,725336.352495,5408589.910132,"church"
1111,722416.281842,5410365.328244,"church"
1113,713483.080625,5409705.161497,"church"
1114,720651.262672,5413145.675825,"church"
1115,724936.322247,5415429.023233,"church"
1116,721902.510423,5407654.444651,"church"
1117,713534.996834,5415043.197810,"church"
1118,723787.420261,5410013.305344,"church"
1119,714916.111240,5408459.122316,"church"
1121,717138.520169,5413667.492001,"church"
1123,727480.534025,5410385.260021,"church"
1125,713299.639463,5417222.659117,"church"
1126,721203.023956,5414832.213864,"church"
1127,720538.410896,5415964.818400,"church"
1128,713417.933455,5415694.352967,"church"
1130,719077.485992,5414597.171436,"church"
1131,714912.424496,5414214.218985,"church"
1132,714633.962302,5414824.103641,"church"
1133,715954.173915,5415267.054123,"church"
1134,727011.382580,5415509.759176,"church"
1135,714010.909341,5403425.323214,"church"
1136,721176.146681,5403549.606140,"church"
1137,719166.780035,5409070.977174,"church"
1138,719144.927154,5409232.212714,"church"
1139,718765.037366,5403957.974822,"church"
1140,725562.369373,5412938.207402,"church"
1141,725503.615089,5412920.788457,"church"
1142,726751.390245,5413341.576897,"church"
1143,723273.891044,5412359.715764,"church"
1144,723189.536713,5408969.268420,"church"
1145,721367.385994,5408181.296591,"church"
1146,722044.852855,5403782.078517,"church"
1147,715615.901182,5405956.823230,"church"
1148,724479.744287,5402150.974431,"church"
1149,727238.690672,5409327.569400,"church"
