accessStopId;accessLinkId;egressStopId;egressLinkId;queryCount
104;-27091042#3;817;-31963736;18
104;-27091042#3;82;-145393541;54
104;-27091042#3;839;-415306248;18
104;-27091042#3;840;-68543362;54
104;-27091042#3;865;-295732688;90
104;-27091042#3;92;-27091597#6;18
104;-27091042#3;922;-288903447#1;36
104;-27091042#3;924;-288903454;36
104;-27091042#3;931;365298401#0;18
104;-27091042#3;933;-155045708;18
104;-27091042#3;962;-144162287#2;18
105;-35049451;10;-112191692#1;15
105;-35049451;125;-126097591;30
105;-35049451;126;-125690144;15
105;-35049451;127;-127184740#0;30
105;-35049451;129;-27215278#1;30
105;-35049451;130;-484393119#0;30
105;-35049451;131;-52877097#0;45
105;-35049451;132;-430304266;15
105;-35049451;143;-266098846;15
105;-35049451;173;-37613338;15
105;-35049451;179;-28182683#0;15
105;-35049451;180;-27227523#1;30
105;-35049451;181;-548689753;30
105;-35049451;182;-367421977#0;15
105;-35049451;199;-89355289#0;15
105;-35049451;213;-497486409;15
105;-35049451;222;-367421944;30
105;-35049451;255;-373181456;15
105;-35049451;300;-88507457;30
105;-35049451;312;-89650896;30
105;-35049451;348;-551123157;15
105;-35049451;391;-180211473#0;15
105;-35049451;40;-28997388;45
105;-35049451;472;-59872773#1;15
105;-35049451;49;-355270871;30
105;-35049451;497;-51226915#0;15
105;-35049451;498;-974889671;15
105;-35049451;50;-297516973#1;15
105;-35049451;51;-509498379;15
105;-35049451;511;164833512#1;60
105;-35049451;517;-974889677#1;15
105;-35049451;519;-115843067#0;15
105;-35049451;52;-498029090;90
105;-35049451;529;-482530156;30
105;-35049451;549;-93799283;15
105;-35049451;556;-490673217;15
105;-35049451;559;-55356621;60
105;-35049451;58;-45026548;30
105;-35049451;59;-45026548;45
105;-35049451;678;-107602690#0;15
105;-35049451;692;-39207242#1;30
105;-35049451;694;-32702545;15
105;-35049451;709;-395860460#0;15
105;-35049451;73;-494998160;15
105;-35049451;80;-337954601#0;15
105;-35049451;800;-93772083#2;30
105;-35049451;817;-31963736;15
105;-35049451;82;-145393541;45
105;-35049451;839;-415306248;15
105;-35049451;840;-68543362;45
105;-35049451;865;-295732688;75
105;-35049451;92;-27091597#6;15
105;-35049451;922;-288903447#1;30
105;-35049451;924;-288903454;30
105;-35049451;931;365298401#0;15
105;-35049451;933;-155045708;15
105;-35049451;962;-144162287#2;15
