linkId;population;weight
-490368902;85;0.0020021198916499823
-270566846;13;3.062065716641149E-4
-367427366;198;0.004663761629961135
-89650896;413;0.009727947238252268
-98945553#0;127;0.002991402661641738
-377797402#4;205;0.004828642091626428
-37804080#0;97;0.002284772111647627
-38282347;34;8.008479566599929E-4
-495020457#0;0;0.0
-101084855;1;2.355435166647038E-5
-95249491;17;4.0042397832999645E-4
-48766051#4;27;6.359674949947003E-4
-54466248#4;43;0.0010128371216582264
-34091182#0;3;7.066305499941114E-5
-488654970;26;6.124131433282298E-4
-56042690;16;3.768696266635261E-4
-488667444#4;88;0.0020727829466493934
-488667444#1;54;0.0012719349899894005
-484337483;46;0.0010835001766576376
-29921787;35;8.244023083264633E-4
-78352183#0;17;4.0042397832999645E-4
-96885067;120;0.0028265221999764457
-98772323#2;3;7.066305499941114E-5
-98772323#0;15;3.533152749970557E-4
-98772343;1;2.355435166647038E-5
-96647643;3;7.066305499941114E-5
-72497268#0;2;4.710870333294076E-5
-95279719;22;5.181957366623484E-4
-89650897#2;275;0.006477446708279355
-492791930#0;159;0.0037451419149687904
-28990861#0;1;2.355435166647038E-5
-34997595#0;201;0.004734424684960547
-99790459;91;0.0021434460016488046
-50865808#0;24;5.653044399952891E-4
-24785848;7;1.6488046166529267E-4
-37111806#0;1;2.355435166647038E-5
-34997755;15;3.533152749970557E-4
-25403854#2;62;0.0014603698033211635
-551123157;76;0.001790130726651749
-25403873#2;19;4.4753268166293725E-4
-29012786#0;74;0.0017430220233188081
-77516650#3;9;2.119891649982334E-4
-34997909#2;26;6.124131433282298E-4
-34998016#3;2;4.710870333294076E-5
-889377937#1;4;9.421740666588152E-5
-34997904;2;4.710870333294076E-5
-484337491#0;21;4.94641384995878E-4
-90066146#1;0;0.0
-484337494;12;2.8265221999764455E-4
37211237#3;23;5.417500883288188E-4
-35378917;122;0.0028736309033093863
-90066146#2;2;4.710870333294076E-5
-495052438;10;2.355435166647038E-4
-279207536#0;1;2.355435166647038E-5
-37719526#2;8;1.8843481333176304E-4
-27256834;0;0.0
-88728582;0;0.0
-791389607#0;1;2.355435166647038E-5
-35564835;1;2.355435166647038E-5
-28997388;36;8.479566599929336E-4
-36906751#1;37;8.715110116594041E-4
-367451607;22;5.181957366623484E-4
-367451608;87;0.002049228594982923
-48652227#0;13;3.062065716641149E-4
-27021139;548;0.012907784713225769
322188134;3;7.066305499941114E-5
-27142867;3;7.066305499941114E-5
322186090;0;0.0
-137409763;1;2.355435166647038E-5
-36906750;1;2.355435166647038E-5
-137520678;2;4.710870333294076E-5
-174686807#0;1;2.355435166647038E-5
-88710312;55;0.0012954893416558708
-8663937#9;11;2.590978683311742E-4
-299679029;2;4.710870333294076E-5
-485834406#0;2;4.710870333294076E-5
-25928418#4;3;7.066305499941114E-5
-126116433#1;23;5.417500883288188E-4
-190250988;29;6.83076198327641E-4
-180211473#0;7;1.6488046166529267E-4
-25928424;11;2.590978683311742E-4
-974896245;1015;0.023907666941467436
-174845120#0;27;6.359674949947003E-4
-88728595#1;14;3.2976092333058534E-4
-174845124#1;8;1.8843481333176304E-4
-88728602#2;12;2.8265221999764455E-4
-88728584#1;15;3.533152749970557E-4
-194805774;8;1.8843481333176304E-4
-37916478;25;5.888587916617595E-4
-27214507#1;23;5.417500883288188E-4
-115843066#4;16;3.768696266635261E-4
-277344621#1;24;5.653044399952891E-4
-174845122#0;12;2.8265221999764455E-4
-26207894#0;23;5.417500883288188E-4
-26207890#5;23;5.417500883288188E-4
-26207890#2;20;4.710870333294076E-4
-29024895#5;26;6.124131433282298E-4
-29024895#1;19;4.4753268166293725E-4
-25928920#1;14;3.2976092333058534E-4
-186284462;380;0.008950653633258745
-26207572#2;9;2.119891649982334E-4
-26207571;10;2.355435166647038E-4
-26207570;20;4.710870333294076E-4
-88714990#1;6;1.4132610999882227E-4
